sen_ID_lid_rad,time_s,x,y,v
0,0.000000,-9.664914,3.917538,0.000000
0,0.000000,24.968419,-4.082462,0.000000
0,0.000000,-11.798247,-0.082462,0.000000
0,0.033333,-9.728671,4.209419,0.000000
0,0.033333,24.537996,-3.790581,0.000000
0,0.033333,-11.995337,0.209419,0.000000
0,0.066666,-9.689590,4.194301,0.000000
0,0.066666,24.210410,-3.805699,0.000000
0,0.066666,-12.089590,0.194301,0.000000
0,0.100000,-9.348285,4.058288,0.000000
0,0.100000,24.185048,-3.941712,0.000000
0,0.100000,-11.881618,0.058288,0.000000
0,0.133333,-9.155778,4.108078,0.000000
0,0.133333,24.010888,-3.891922,0.000000
0,0.133333,-11.822445,0.108078,0.000000
0,0.166666,-9.134921,3.889358,0.000000
0,0.166666,23.665079,-4.110642,0.000000
0,0.166666,-11.934921,-0.110642,0.000000
0,0.200000,-8.905664,3.781877,0.000000
0,0.200000,23.527669,-4.218123,0.000000
0,0.200000,-11.838998,-0.218123,0.000000
0,0.233333,-8.892663,3.941299,0.000000
0,0.233333,23.174004,-4.058701,0.000000
0,0.233333,-11.959330,-0.058701,0.000000
0,0.266666,-8.485792,3.741406,0.000000
0,0.266666,23.214208,-4.258594,0.000000
0,0.266666,-11.685792,-0.258594,0.000000
0,0.300000,-8.556436,3.969923,0.000000
0,0.300000,22.776897,-4.030077,0.000000
0,0.300000,-11.889770,-0.030077,0.000000
0,0.333333,-8.157343,3.763693,0.000000
0,0.333333,22.809324,-4.236307,0.000000
0,0.333333,-11.624010,-0.236307,0.000000
0,0.366666,-7.818932,4.071195,0.000000
0,0.366666,22.781068,-3.928805,0.000000
0,0.366666,-11.418932,0.071195,0.000000
0,0.400000,-7.710097,4.069854,0.000000
0,0.400000,22.523236,-3.930146,0.000000
0,0.400000,-11.443430,0.069854,0.000000
0,0.433333,-7.673737,3.904510,0.000000
0,0.433333,22.192929,-4.095490,0.000000
0,0.433333,-11.540404,-0.095490,0.000000
0,0.466666,-7.633589,4.016128,0.000000
0,0.466666,21.866411,-3.983872,0.000000
0,0.466666,-11.633589,0.016128,0.000000
0,0.500000,-7.286894,3.917761,0.000000
0,0.500000,21.846439,-4.082239,0.000000
0,0.500000,-11.420228,-0.082239,0.000000
0,0.533333,-7.038398,4.169426,0.000000
0,0.533333,21.727713,-3.830574,0.000000
0,0.533333,-11.303403,0.170019,0.000000
0,0.566666,-7.204819,4.181039,0.000000
0,0.566666,21.193514,-3.818961,0.000000
0,0.566666,-11.599846,0.182932,0.000000
0,0.600000,-6.799399,4.080749,0.000000
0,0.600000,21.230601,-3.919251,0.000000
0,0.600000,-11.322817,0.084775,0.000000
0,0.633333,-6.544758,3.701209,0.000000
0,0.633333,21.116352,-4.298791,0.000000
0,0.633333,-11.194956,-0.291672,0.000000
0,0.666666,-6.341794,4.162902,0.000000
0,0.666666,20.949872,-3.837098,0.000000
0,0.666666,-11.117190,0.174213,0.000000
0,0.700000,-6.171042,4.016943,0.000000
0,0.700000,20.750624,-3.983057,0.000000
0,0.700000,-11.070088,0.033685,0.000000
0,0.733333,-6.010063,3.928837,0.000000
0,0.733333,20.541048,-4.071163,0.000000
0,0.733333,-11.031255,-0.047598,0.000000
0,0.766666,-6.068269,4.046632,0.000000
0,0.766666,20.111731,-3.953368,0.000000
0,0.766666,-11.210150,0.078564,0.000000
0,0.800000,-5.872429,3.913111,0.000000
0,0.800000,19.935904,-4.086889,0.000000
0,0.800000,-11.133603,-0.044884,0.000000
0,0.833333,-5.669313,3.984099,0.000000
0,0.833333,19.766798,-4.015901,0.000000
0,0.833333,-11.048453,0.038047,0.000000
0,0.866666,-5.253821,4.076930,0.000000
0,0.866666,19.809511,-3.923070,0.000000
0,0.866666,-10.749679,0.144861,0.000000
0,0.900000,-5.322105,4.182163,0.000000
0,0.900000,19.367894,-3.817837,0.000000
0,0.900000,-10.933524,0.266290,0.000000
0,0.933333,-5.394039,3.804778,0.000000
0,0.933333,18.922070,-4.195222,0.000000
0,0.933333,-11.119965,-0.092508,0.000000
0,0.966666,-4.951004,4.248326,0.000000
0,0.966666,18.990662,-3.751674,0.000000
0,0.966666,-10.790500,0.372193,0.000000
0,1.000000,-4.980153,4.181434,0.000000
0,1.000000,18.586512,-3.818566,0.000000
0,1.000000,-10.932415,0.329201,0.000000
0,1.033333,-4.654829,3.951645,0.000000
0,1.033333,18.536281,-4.048355,0.000000
0,1.033333,-10.717818,0.124308,0.000000
0,1.066666,-4.473511,3.875107,0.000000
0,1.066666,18.341487,-4.124893,0.000000
0,1.066666,-10.645190,0.073662,0.000000
0,1.100000,-4.200602,4.023146,0.000000
0,1.100000,18.237730,-3.976854,0.000000
0,1.100000,-10.478933,0.248589,0.000000
0,1.133333,-4.291852,3.986548,0.000000
0,1.133333,17.769257,-4.013452,0.000000
0,1.133333,-10.674798,0.239876,0.000000
0,1.166666,-3.763660,3.891419,0.000000
0,1.166666,17.919671,-4.108581,0.000000
0,1.166666,-10.249183,0.173626,0.000000
0,1.200000,-3.658065,3.965720,0.000000
0,1.200000,17.646932,-4.034280,0.000000
0,1.200000,-10.244128,0.277802,0.000000
0,1.233333,-3.659205,4.007718,0.000000
0,1.233333,17.266904,-3.992282,0.000000
0,1.233333,-10.343769,0.350672,0.000000
0,1.266666,-3.348440,3.953281,0.000000
0,1.266666,17.198224,-4.046719,0.000000
0,1.266666,-10.129468,0.328102,0.000000
0,1.300000,-3.131285,3.968314,0.000000
0,1.300000,17.035379,-4.031686,0.000000
0,1.300000,-10.006740,0.375998,0.000000
0,1.333333,-2.824099,4.105658,0.000000
0,1.333333,16.962009,-3.894342,0.000000
0,1.333333,-9.791944,0.547201,0.000000
0,1.366666,-2.543408,3.999333,0.000000
0,1.366666,16.861589,-4.000667,0.000000
0,1.366666,-9.601604,0.475730,0.000000
0,1.400000,-2.446964,3.817996,0.000000
0,1.400000,16.576366,-4.182004,0.000000
0,1.400000,-9.593474,0.330244,0.000000
0,1.433333,-2.415825,4.058422,0.000000
0,1.433333,16.225282,-3.941578,0.000000
0,1.433333,-9.648612,0.607517,0.000000
0,1.466666,-2.457554,3.779519,0.000000
0,1.466666,15.800776,-4.220481,0.000000
0,1.466666,-9.774580,0.366456,0.000000
0,1.500000,-1.974849,3.877631,0.000000
0,1.500000,15.900147,-4.122369,0.000000
0,1.500000,-9.374076,0.503406,0.000000
0,1.533333,-1.894872,4.230633,0.000000
0,1.533333,15.596234,-3.769367,0.000000
0,1.533333,-9.374264,0.896242,0.000000
0,1.566666,-1.405805,3.937069,0.000000
0,1.566666,15.700857,-4.062931,0.000000
0,1.566666,-8.963322,0.643508,0.000000
0,1.600000,-1.404767,4.145692,0.000000
0,1.600000,15.316894,-3.854308,0.000000
0,1.600000,-9.038374,0.893957,0.000000
0,1.633333,-1.374537,4.138911,0.000000
0,1.633333,14.961568,-3.861089,0.000000
0,1.633333,-9.082195,0.929997,0.000000
0,1.666666,-0.851738,3.899085,0.000000
0,1.666666,15.098256,-4.100915,0.000000
0,1.666666,-8.631409,0.733988,0.000000
0,1.700000,-1.229048,4.184945,0.000000
0,1.700000,14.334280,-3.815055,0.000000
0,1.700000,-9.078695,1.064662,0.000000
0,1.733333,-0.732901,3.894540,0.000000
0,1.733333,14.443204,-4.105460,0.000000
0,1.733333,-8.650487,0.820065,0.000000
0,1.766666,-0.639889,3.915288,0.000000
0,1.766666,14.148438,-4.084712,0.000000
0,1.766666,-8.623375,0.887619,0.000000
0,1.800000,-0.259396,3.890405,0.000000
0,1.800000,14.140597,-4.109595,0.000000
0,1.800000,-8.306746,0.910536,0.000000
0,1.833333,-0.448047,3.864153,0.000000
0,1.833333,13.563057,-4.135847,0.000000
0,1.833333,-8.557223,0.933080,0.000000
0,1.866666,-0.038222,3.842788,0.000000
0,1.866666,13.583437,-4.157212,0.000000
0,1.866666,-8.207186,0.961509,0.000000
0,1.900000,-0.140513,4.154011,0.000000
0,1.900000,13.091146,-3.845989,0.000000
0,1.900000,-8.367228,1.323520,0.000000
0,1.933333,0.254141,4.287925,0.000000
0,1.933333,13.095244,-3.712075,0.000000
0,1.933333,-8.028286,1.509218,0.000000
0,1.966666,0.853664,3.850211,0.000000
0,1.966666,13.303655,-4.149789,0.000000
0,1.966666,-7.482439,1.124284,0.000000
0,2.000000,0.948110,4.016622,0.000000
0,2.000000,13.006434,-3.983378,0.000000
0,2.000000,-7.439631,1.344471,0.000000
0,2.033333,1.195443,4.068767,0.000000
0,2.033333,12.861544,-3.931233,0.000000
0,2.033333,-7.241899,1.451388,0.000000
0,2.066666,1.147843,4.118196,0.000000
0,2.066666,12.421167,-3.881804,0.000000
0,2.066666,-7.337061,1.556584,0.000000
0,2.100000,1.244926,3.968382,0.000000
0,2.100000,12.124916,-4.031618,0.000000
0,2.100000,-7.285504,1.463534,0.000000
0,2.133333,1.478262,3.872376,0.000000
0,2.133333,11.964363,-4.127624,0.000000
0,2.133333,-7.095654,1.425287,0.000000
0,2.166666,1.390176,4.027924,0.000000
0,2.166666,11.481832,-3.972076,0.000000
0,2.166666,-7.225191,1.639589,0.000000
0,2.200000,2.037951,4.107810,0.000000
0,2.200000,11.734606,-3.892190,0.000000
0,2.200000,-6.616828,1.779226,0.000000
0,2.233333,2.243952,4.126282,0.000000
0,2.233333,11.545644,-3.869916,0.000000
0,2.233333,-6.447610,1.862248,0.000000
0,2.266666,1.817819,4.188347,0.000000
0,2.266666,10.724659,-3.800248,0.000000
0,2.266666,-6.907820,1.993658,0.000000
0,2.300000,2.388122,3.977528,0.000000
0,2.300000,10.900295,-3.999665,0.000000
0,2.300000,-6.368817,1.856980,0.000000
0,2.333333,2.987936,3.625280,0.000000
0,2.333333,11.105702,-4.336719,0.000000
0,2.333333,-5.797450,1.583660,0.000000
0,2.366666,2.730842,4.235282,0.000000
0,2.366666,10.454533,-3.707734,0.000000
0,2.366666,-6.080065,2.277375,0.000000
0,2.400000,3.056668,3.673793,0.000000
0,2.400000,10.386692,-4.246461,0.000000
0,2.400000,-5.776759,1.804375,0.000000
0,2.433333,2.920454,3.774739,0.000000
0,2.433333,9.857291,-4.118980,0.000000
0,2.433333,-5.932420,1.998578,0.000000
0,2.466666,3.554308,3.961398,0.000000
0,2.466666,10.098513,-3.902023,0.000000
0,2.466666,-5.314865,2.283252,0.000000
0,2.500000,3.691297,3.754543,0.000000
0,2.500000,9.843498,-4.074831,0.000000
0,2.500000,-5.190954,2.179157,0.000000
0,2.533333,3.954399,3.816845,0.000000
0,2.533333,9.715295,-3.974744,0.000000
0,2.533333,-4.937638,2.348954,0.000000
0,2.566666,4.173018,3.880803,0.000000
0,2.566666,9.543382,-3.869279,0.000000
0,2.566666,-4.725438,2.525125,0.000000
0,2.600000,4.449285,3.496593,0.000000
0,2.600000,9.429963,-4.208274,0.000000
0,2.600000,-4.452152,2.257830,0.000000
0,2.633333,4.920361,3.528605,0.000000
0,2.633333,9.512271,-4.127357,0.000000
0,2.633333,-3.980545,2.411445,0.000000
0,2.666666,4.719539,3.568250,0.000000
0,2.666666,8.923670,-4.035135,0.000000
0,2.666666,-4.177254,2.577359,0.000000
0,2.700000,4.833600,3.366771,0.000000
0,2.700000,8.651013,-4.180386,0.000000
0,2.700000,-4.055426,2.506797,0.000000
0,2.733333,4.979583,3.686761,0.000000
0,2.733333,8.411410,-3.800539,0.000000
0,2.733333,-3.897951,2.962329,0.000000
0,2.766666,5.347832,3.577591,0.000000
0,2.766666,8.395276,-3.846244,0.000000
0,2.766666,-3.514414,2.993305,0.000000
