car_ID,time_s,x_est,y_est,v_est,yaw_est,yawdot_est,x_var,y_var,v_var,yaw_var,yawdot_var,x_tru,y_tru,vx_tru,vy_tru
2,0.400000,-11.605014,0.002339,1.092223,0.212596,0.022570,0.005945,0.002992,0.122537,1.082962,1.005581,-11.566667,0.000000,1.000000,0.000000
0,0.433333,-7.746417,4.003742,5.072906,0.151170,0.064753,0.005528,0.009696,0.128731,0.034069,0.874572,-7.666667,4.000000,5.000000,0.000000
1,0.433333,22.299227,-4.026749,-5.583588,-0.076750,-0.239660,0.005685,0.009002,0.129369,0.025171,0.808133,22.200000,-4.000000,-6.000000,-0.000000
2,0.433333,-11.574668,-0.013711,1.117092,-0.016648,-0.058280,0.005746,0.004486,0.106023,0.981848,0.990951,-11.533333,0.000000,1.000000,0.000000
0,0.466666,-7.594469,4.024405,5.030397,0.147442,0.061067,0.005361,0.009251,0.112742,0.029699,0.828084,-7.500000,4.000000,5.000000,0.000000
1,0.466666,22.055760,-4.001823,-5.796127,-0.097383,-0.256555,0.005469,0.008739,0.112232,0.025103,0.737021,22.000000,-4.000000,-6.000000,-0.000000
2,0.466666,-11.573279,-0.005757,1.060557,0.076727,-0.023932,0.005448,0.005915,0.093788,0.813102,0.966507,-11.500000,0.000000,1.000000,0.000000
0,0.500000,-7.395986,3.995093,5.134288,0.073918,-0.132012,0.005196,0.008842,0.099974,0.027826,0.769936,-7.333333,4.000000,5.016667,0.000000
1,0.500000,21.860999,-4.021134,-5.808738,-0.056565,-0.100657,0.005266,0.008702,0.098824,0.024956,0.650739,21.800000,-4.000000,-6.000000,-0.000000
2,0.500000,-11.519872,-0.028769,1.143269,-0.149083,-0.108666,0.005215,0.006708,0.084507,0.633713,0.938711,-11.466667,0.000000,1.066519,0.017777
0,0.533333,-7.187819,4.066947,5.281780,0.146608,0.063786,0.005025,0.008620,0.089613,0.027016,0.700206,-7.166111,4.000000,5.033334,0.000000
1,0.533333,21.684678,-3.939992,-5.777553,-0.149504,-0.392843,0.005075,0.008718,0.088212,0.024357,0.557224,21.600000,-4.000000,-6.000000,-0.000000
2,0.533333,-11.452408,0.031418,1.271372,0.305141,0.077557,0.004951,0.007232,0.077499,0.474967,0.911107,-11.431116,0.000593,1.132661,0.039029
0,0.566666,-7.058542,4.128986,5.166766,0.200820,0.226246,0.004872,0.008527,0.081286,0.026386,0.620239,-6.998333,4.000000,5.050001,0.000000
1,0.566666,21.432090,-3.878692,-5.985854,-0.198617,-0.498803,0.004902,0.008692,0.079891,0.023263,0.465167,21.400000,-4.000000,-6.000000,-0.000000
2,0.566666,-11.461474,0.091581,1.175862,0.633200,0.220422,0.004796,0.007514,0.072078,0.348032,0.885055,-11.393361,0.001894,1.198294,0.063970
0,0.600000,-6.871337,4.130941,5.213379,0.162114,0.081412,0.004735,0.008398,0.074639,0.025668,0.537093,-6.830000,4.000000,5.066668,0.000000
1,0.600000,21.236037,-3.869687,-5.982494,-0.175625,-0.373178,0.004755,0.008715,0.073374,0.021611,0.379059,21.200000,-4.000000,-6.000000,-0.000000
2,0.600000,-11.411038,0.099127,1.233511,0.557407,0.175770,0.004670,0.007072,0.068050,0.261820,0.863469,-11.353418,0.004026,1.263263,0.092806
0,0.633333,-6.660998,3.985923,5.242751,-0.070117,-0.640987,0.004601,0.008351,0.069275,0.024593,0.455043,-6.661111,4.000000,5.083334,0.000000
1,0.633333,21.047258,-4.011441,-5.883981,0.024839,0.276009,0.004617,0.008672,0.068203,0.019654,0.304203,21.000000,-4.000000,-6.000000,-0.000000
2,0.633333,-11.326059,-0.013348,1.270870,-0.106214,-0.184620,0.004604,0.006805,0.064893,0.200933,0.843335,-11.311309,0.007119,1.327392,0.125739
0,0.666666,-6.461784,4.041534,5.345080,-0.001761,-0.371313,0.004425,0.008321,0.064857,0.023212,0.379411,-6.491666,4.000000,5.100001,0.000000
1,0.666666,20.874595,-3.947469,-5.850603,-0.048428,0.033304,0.004440,0.008550,0.063992,0.017701,0.243278,20.800000,-4.000000,-6.000000,-0.000000
2,0.666666,-11.260889,0.035408,1.374649,0.092887,-0.065170,0.004290,0.006766,0.062423,0.158460,0.824320,-11.267062,0.011311,1.390483,0.162963
0,0.700000,-6.263887,4.031285,5.403224,-0.026271,-0.406072,0.004305,0.008322,0.061304,0.021466,0.311205,-6.321666,4.000000,5.116668,0.000000
1,0.700000,20.694531,-3.954218,-5.810463,-0.029842,0.082421,0.004313,0.008381,0.060636,0.015824,0.194488,20.600000,-4.000000,-6.000000,-0.000000
2,0.700000,-11.191225,0.034088,1.445348,0.055980,-0.089847,0.004168,0.006714,0.060345,0.128067,0.804131,-11.220713,0.016743,1.452317,0.204663
0,0.733333,-6.071989,3.990059,5.434081,-0.083976,-0.530275,0.004201,0.008279,0.058489,0.019521,0.252486,-6.151111,4.000000,5.133335,0.000000
1,0.733333,20.509071,-3.992923,-5.780812,0.020553,0.210575,0.004200,0.008174,0.057981,0.014099,0.156128,20.400000,-4.000000,-6.000000,-0.000000
2,0.733333,-11.123886,0.009584,1.492613,-0.049656,-0.172800,0.004065,0.006615,0.058592,0.106720,0.782244,-11.172302,0.023565,1.512648,0.251013
0,0.766666,-5.924974,3.998814,5.353070,-0.072334,-0.452990,0.004111,0.008170,0.056291,0.017549,0.203856,-5.980000,4.000000,5.150002,0.000000
1,0.766666,20.280441,-3.982202,-5.883063,0.012332,0.170090,0.004099,0.007947,0.055897,0.012555,0.126248,20.200000,-4.000000,-6.000000,-0.000000
2,0.766666,-11.101359,0.029409,1.435478,0.023347,-0.102239,0.003963,0.006472,0.057135,0.092096,0.758362,-11.121881,0.031932,1.571207,0.302174
0,0.800000,-5.771726,3.958065,5.292322,-0.119287,-0.537760,0.004033,0.007988,0.054599,0.015699,0.164877,-5.808333,4.000000,5.166669,0.000000
1,0.800000,20.059080,-4.020051,-5.947005,0.053016,0.255115,0.004013,0.007757,0.054281,0.011158,0.102796,20.000000,-4.000000,-6.000000,-0.000000
2,0.800000,-11.068562,0.010305,1.396389,-0.037288,-0.168651,0.003903,0.006237,0.055897,0.082571,0.732865,-11.069507,0.042004,1.627700,0.358293
0,0.833333,-5.610135,3.951432,5.260621,-0.120584,-0.497149,0.003969,0.007759,0.053314,0.014032,0.134161,-5.636110,4.000000,5.183336,0.000000
1,0.833333,19.845583,-4.025708,-5.991035,0.056031,0.241413,0.003939,0.007567,0.053041,0.009909,0.084427,19.800000,-4.000000,-6.000000,-0.000000
2,0.833333,-11.028459,0.016521,1.386555,-0.018825,-0.140024,0.003847,0.005982,0.054855,0.076729,0.705825,-11.015251,0.053948,1.681805,0.419497
0,0.866666,-5.403281,3.981482,5.342475,-0.078591,-0.354674,0.003912,0.007528,0.052346,0.012551,0.110050,-5.463333,4.000000,5.200003,0.000000
1,0.866666,19.674553,-4.001053,-5.922558,0.031218,0.168292,0.003877,0.007376,0.052101,0.008805,0.070064,19.600000,-4.000000,-6.000000,-0.000000
2,0.866666,-10.945103,0.047569,1.493893,0.062015,-0.011144,0.003805,0.005763,0.053972,0.073341,0.676853,-10.959190,0.067931,1.733178,0.485897
0,0.900000,-5.240036,4.035501,5.298791,-0.020673,-0.195098,0.003854,0.007346,0.051620,0.011219,0.090975,-5.289999,4.000000,5.216670,0.000000
1,0.900000,19.458223,-3.946578,-5.974553,-0.017305,0.049732,0.003821,0.007159,0.051399,0.007852,0.058924,19.400000,-4.000000,-6.000000,-0.000000
2,0.900000,-10.904429,0.105021,1.483476,0.214536,0.217272,0.003775,0.005668,0.053218,0.071182,0.644447,-10.901418,0.084127,1.781447,0.557579
0,0.933333,-5.122927,3.955276,5.160449,-0.105780,-0.370549,0.003796,0.007149,0.051077,0.010048,0.076007,-5.116110,4.000000,5.233336,0.000000
1,0.933333,19.204559,-4.019598,-6.114751,0.047890,0.181585,0.003771,0.006963,0.050880,0.007028,0.050229,19.200000,-4.000000,-6.000000,-0.000000
2,0.933333,-10.900190,0.065833,1.363097,0.095036,0.011399,0.003750,0.005555,0.052586,0.069876,0.609457,-10.842036,0.102713,1.826213,0.634606
0,0.966666,-4.948675,4.031972,5.154429,-0.026462,-0.175545,0.003757,0.006904,0.050676,0.009047,0.064353,-4.941666,4.000000,5.250003,0.000000
1,0.966666,18.998359,-3.945772,-6.122188,-0.014264,0.043142,0.003731,0.006799,0.050502,0.006304,0.043368,19.000000,-4.000000,-6.000000,-0.000000
2,0.966666,-10.847768,0.142006,1.401608,0.292324,0.342309,0.003727,0.005398,0.052050,0.069305,0.573461,-10.781162,0.123867,1.867056,0.717012
0,1.000000,-4.809624,4.070847,5.066132,0.006498,-0.096347,0.003716,0.006694,0.050381,0.008184,0.055203,-4.766666,4.000000,5.266670,0.000000
1,1.000000,18.760239,-3.905462,-6.210410,-0.042537,-0.015802,0.003695,0.006630,0.050231,0.005676,0.037975,18.800000,-4.000000,-6.000000,-0.000000
2,1.000000,-10.827472,0.197220,1.355729,0.427969,0.559352,0.003712,0.005280,0.051618,0.069011,0.536275,-10.718927,0.147767,1.944850,0.746887
0,1.033333,-4.644567,4.037009,5.063073,-0.027880,-0.158087,0.003679,0.006478,0.050167,0.007445,0.048019,-4.591110,4.000000,5.283337,0.000000
1,1.033333,18.551504,-3.940255,-6.216482,-0.010372,0.046629,0.003664,0.006476,0.050040,0.005131,0.033718,18.600000,-4.000000,-6.000000,-0.000000
2,1.033333,-10.775311,0.193906,1.378808,0.379974,0.439842,0.003702,0.005126,0.051302,0.068910,0.499006,-10.654099,0.172664,2.022644,0.776763
0,1.066666,-4.477017,3.988089,5.067606,-0.071247,-0.231145,0.003653,0.006287,0.050011,0.006805,0.042321,-4.414999,4.000000,5.300004,0.000000
1,1.066666,18.344638,-3.990665,-6.216561,0.029059,0.117102,0.003641,0.006318,0.049907,0.004662,0.030366,18.400000,-4.000000,-6.000000,-0.000000
2,1.066666,-10.717529,0.178461,1.404295,0.295194,0.260019,0.003708,0.005054,0.051051,0.068567,0.461050,-10.586677,0.198556,2.100437,0.806638
0,1.100000,-4.291361,3.989067,5.111140,-0.066784,-0.208559,0.003634,0.006113,0.049902,0.006246,0.037772,-4.238332,4.000000,5.316671,0.000000
1,1.100000,18.154041,-3.991745,-6.175635,0.029324,0.110559,0.003622,0.006158,0.049818,0.004260,0.027734,18.200000,-4.000000,-6.000000,-0.000000
2,1.100000,-10.643148,0.201217,1.488982,0.309275,0.262191,0.003711,0.005046,0.050835,0.067726,0.422549,-10.516663,0.225444,2.178231,0.836514
0,1.133333,-4.149246,3.978642,5.041267,-0.073549,-0.208148,0.003618,0.005964,0.049825,0.005754,0.034113,-4.061109,4.000000,5.333338,0.000000
1,1.133333,17.920018,-4.001809,-6.249224,0.035286,0.114481,0.003607,0.005995,0.049759,0.003919,0.025678,18.000000,-4.000000,-6.000000,-0.000000
2,1.133333,-10.610846,0.222814,1.460009,0.346081,0.314453,0.003720,0.005094,0.050648,0.066147,0.383509,-10.444055,0.253327,2.256025,0.866389
0,1.166666,-3.947616,3.947797,5.132673,-0.093447,-0.231069,0.003606,0.005807,0.049772,0.005325,0.031187,-3.883331,4.000000,5.350005,0.000000
1,1.166666,17.745681,-4.035836,-6.164692,0.056729,0.145433,0.003595,0.005856,0.049721,0.003628,0.024062,17.800000,-4.000000,-6.000000,-0.000000
2,1.166666,-10.512787,0.217697,1.580776,0.259027,0.134235,0.003730,0.005095,0.050493,0.064049,0.345605,-10.368854,0.282207,2.333819,0.896264
0,1.200000,-3.758478,3.940627,5.180486,-0.092974,-0.216979,0.003596,0.005682,0.049737,0.004945,0.028822,-3.704998,4.000000,5.366672,0.000000
1,1.200000,17.557800,-4.044803,-6.121299,0.059779,0.142442,0.003586,0.005706,0.049698,0.003384,0.022808,17.600000,-4.000000,-6.000000,-0.000000
2,1.200000,-10.428259,0.236971,1.673544,0.254401,0.113932,0.003728,0.005187,0.050356,0.061225,0.308545,-10.291060,0.312082,2.411613,0.926140
0,1.233333,-3.598074,3.944312,5.148378,-0.085336,-0.191880,0.003589,0.005571,0.049712,0.004608,0.026906,-3.526109,4.000000,5.383338,0.000000
1,1.233333,17.340373,-4.041059,-6.156373,0.054001,0.124479,0.003580,0.005563,0.049683,0.003180,0.021843,17.400000,-4.000000,-6.000000,-0.000000
2,1.233333,-10.372958,0.273486,1.697023,0.315247,0.210908,0.003726,0.005299,0.050236,0.057729,0.272884,-10.210673,0.342954,2.489407,0.956015
0,1.266666,-3.414820,3.935467,5.179775,-0.086458,-0.183117,0.003583,0.005456,0.049693,0.004313,0.025369,-3.346664,4.000000,5.400005,0.000000
1,1.266666,17.145728,-4.051339,-6.130849,0.057602,0.123621,0.003575,0.005441,0.049673,0.003009,0.021098,17.200000,-4.000000,-6.000000,-0.000000
2,1.266666,-10.290003,0.294983,1.777198,0.311817,0.191340,0.003736,0.005354,0.050132,0.053860,0.239777,-10.127693,0.374821,2.567201,0.985891
0,1.300000,-3.225172,3.932157,5.223665,-0.082927,-0.167359,0.003579,0.005352,0.049679,0.004054,0.024135,-3.166664,4.000000,5.416672,0.000000
1,1.300000,16.956761,-4.056285,-6.092311,0.057679,0.116965,0.003571,0.005326,0.049665,0.002867,0.020529,17.000000,-4.000000,-6.000000,-0.000000
2,1.300000,-10.198860,0.322233,1.874832,0.316271,0.186423,0.003744,0.005412,0.050042,0.049742,0.209507,-10.042120,0.407684,2.644994,1.015766
0,1.333333,-3.014847,3.962520,5.309821,-0.054668,-0.112777,0.003575,0.005260,0.049665,0.003826,0.023146,-2.986108,4.000000,5.433339,0.000000
1,1.333333,16.786716,-4.028700,-6.004688,0.038739,0.079257,0.003568,0.005217,0.049657,0.002749,0.020101,16.800000,-4.000000,-6.000000,-0.000000
2,1.333333,-10.088349,0.382130,2.036766,0.381824,0.280096,0.003752,0.005471,0.049964,0.045491,0.182188,-9.953953,0.441543,2.722789,1.045642
0,1.366666,-2.791435,3.964720,5.428342,-0.047771,-0.095801,0.003572,0.005186,0.049653,0.003625,0.022350,-2.804997,4.000000,5.450006,0.000000
1,1.366666,16.630426,-4.029341,-5.892104,0.038048,0.073916,0.003566,0.005110,0.049648,0.002655,0.019791,16.600000,-4.000000,-6.000000,-0.000000
2,1.366666,-9.957564,0.411547,2.211648,0.355095,0.221087,0.003778,0.005538,0.049901,0.041149,0.157630,-9.863193,0.476398,2.800582,1.075517
