sen_ID_lid_rad, time_s, nis
0, 0.033333, 1.981369
0, 0.033333, 5.910891
0, 0.033333, 2.735605
0, 0.066666, 0.509275
0, 0.066666, 8.295975
0, 0.066666, 1.478066
0, 0.100000, 3.624415
0, 0.100000, 3.326118
0, 0.100000, 0.369513
0, 0.133333, 4.972470
0, 0.133333, 3.748606
0, 0.133333, 0.500498
0, 0.166666, 3.554568
0, 0.166666, 9.327539
0, 0.166666, 1.620856
0, 0.200000, 6.017256
0, 0.200000, 6.195867
0, 0.200000, 3.172716
0, 0.233333, 1.255240
0, 0.233333, 7.834620
0, 0.233333, 0.395202
0, 0.266666, 7.954895
0, 0.266666, 1.581642
0, 0.266666, 4.531170
0, 0.300000, 0.943169
0, 0.300000, 4.913991
0, 0.300000, 0.085741
0, 0.333333, 5.263521
0, 0.333333, 0.593422
0, 0.333333, 3.674430
0, 0.366666, 8.110210
0, 0.366666, 2.005753
0, 0.366666, 4.607027
0, 0.400000, 2.952677
0, 0.400000, 0.423358
0, 0.400000, 1.833534
0, 0.433333, 1.092313
0, 0.433333, 1.020618
0, 0.433333, 0.440231
0, 0.466666, 0.093621
0, 0.466666, 2.126429
0, 0.466666, 0.243269
0, 0.500000, 1.151771
0, 0.500000, 0.284124
0, 0.500000, 0.764778
0, 0.533333, 1.997503
0, 0.533333, 0.981318
0, 0.533333, 2.506799
0, 0.566666, 1.429297
0, 0.566666, 3.461874
0, 0.566666, 1.674775
0, 0.600000, 0.482617
0, 0.600000, 0.180950
0, 0.600000, 0.457363
0, 0.633333, 6.607488
0, 0.633333, 6.164375
0, 0.633333, 6.151288
0, 0.666666, 1.814943
0, 0.666666, 1.205294
0, 0.666666, 2.274977
0, 0.700000, 0.489057
0, 0.700000, 0.229383
0, 0.700000, 0.801421
0, 0.733333, 0.472240
0, 0.733333, 0.480636
0, 0.733333, 0.687380
0, 0.766666, 1.267764
0, 0.766666, 1.602651
0, 0.766666, 0.800105
0, 0.800000, 0.696380
0, 0.800000, 1.122554
0, 0.800000, 0.409408
0, 0.833333, 0.257032
0, 0.833333, 0.341398
0, 0.833333, 0.049915
0, 0.866666, 1.847732
0, 0.866666, 1.369740
0, 0.866666, 2.595603
0, 0.900000, 1.752010
0, 0.900000, 1.529185
0, 0.900000, 1.593500
0, 0.933333, 5.485462
0, 0.933333, 6.208565
0, 0.933333, 4.021155
0, 0.966666, 3.001468
0, 0.966666, 2.404063
0, 0.966666, 3.260468
0, 1.000000, 2.293150
0, 1.000000, 2.090328
0, 1.000000, 1.616192
0, 1.033333, 0.461418
0, 1.033333, 0.741014
0, 1.033333, 0.461852
0, 1.066666, 0.787661
0, 1.066666, 1.113833
0, 1.066666, 0.924319
0, 1.100000, 0.510248
0, 1.100000, 0.384194
0, 1.100000, 1.546593
0, 1.133333, 1.079940
