car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
0, 0.366666, -8.065615, 3.872667, 4.835788, -0.128489, -0.278974, 0.007836, 0.012412, 0.041614, 0.019183, 0.461373, -8.000000, 4.000000, 5.000000, 0.000000
1, 0.366666, 22.668751, -4.033016, -6.089670, -0.017464, -0.190070, 0.008391, 0.053048, 0.028643, 0.050452, 0.672778, 22.600000, -4.000000, -6.000000, -0.000000
2, 0.366666, -11.608694, -0.058784, 1.370332, 0.003218, -0.014583, 0.007581, 0.101937, 0.035204, 1.126757, 1.011645, -11.600000, 0.000000, 1.000000, 0.000000
0, 0.400000, -7.908449, 3.858395, 4.822071, -0.117388, -0.181266, 0.007575, 0.012349, 0.041761, 0.019801, 0.402389, -7.833333, 4.000000, 5.000000, 0.000000
1, 0.400000, 22.476574, -3.968974, -6.069826, -0.068084, -0.298057, 0.008081, 0.057191, 0.030906, 0.048247, 0.540892, 22.400000, -4.000000, -6.000000, -0.000000
2, 0.400000, -11.581266, -0.049086, 1.388386, 0.029333, -0.008382, 0.007546, 0.119868, 0.036448, 1.151594, 1.012718, -11.566667, 0.000000, 1.000000, 0.000000
0, 0.433333, -7.692711, 3.968402, 5.004669, -0.052716, -0.203390, 0.007330, 0.012182, 0.041992, 0.019375, 0.338461, -7.666667, 4.000000, 5.000000, 0.000000
1, 0.433333, 22.239895, -4.164687, -6.219967, 0.049961, -0.059027, 0.007958, 0.064528, 0.030583, 0.051920, 0.498367, 22.200000, -4.000000, -6.000000, -0.000000
2, 0.433333, -11.561450, -0.044824, 1.423588, 0.031624, -0.012587, 0.007604, 0.139197, 0.037885, 1.176942, 1.013548, -11.533333, 0.000000, 1.000000, 0.000000
0, 0.466666, -7.484426, 4.050679, 5.071747, 0.092841, 0.285940, 0.006981, 0.011405, 0.042347, 0.015536, 0.247242, -7.500000, 4.000000, 5.000000, 0.000000
1, 0.466666, 22.001528, -4.349275, -6.247299, 0.221441, 0.402758, 0.007391, 0.056459, 0.033308, 0.035500, 0.311213, 22.000000, -4.000000, -6.000000, -0.000000
2, 0.466666, -11.518848, -0.028691, 1.424828, 0.071536, -0.000803, 0.007749, 0.160250, 0.039469, 1.203964, 1.014283, -11.500000, 0.000000, 1.000000, 0.000000
0, 0.500000, -7.315040, 4.010347, 5.030555, 0.017672, 0.022256, 0.006459, 0.009746, 0.041265, 0.009282, 0.153297, -7.333333, 4.000000, 5.016667, 0.000000
1, 0.500000, 21.796238, -4.232855, -6.201537, 0.093143, 0.060566, 0.006650, 0.039107, 0.034035, 0.014417, 0.141590, 21.800000, -4.000000, -6.000000, -0.000000
2, 0.500000, -11.462309, -0.041509, 1.471041, 0.027457, -0.022315, 0.007955, 0.181791, 0.041113, 1.226703, 1.013536, -11.466667, 0.000000, 1.066519, 0.017777
0, 0.533333, -7.157950, 3.971260, 4.988139, -0.009490, -0.016208, 0.006238, 0.009252, 0.042673, 0.008278, 0.125379, -7.166111, 4.000000, 5.033334, 0.000000
1, 0.533333, 21.593089, -4.176458, -6.167019, 0.067370, 0.035481, 0.006472, 0.039851, 0.036758, 0.014067, 0.125782, 21.600000, -4.000000, -6.000000, -0.000000
2, 0.533333, -11.417361, -0.042548, 1.504413, 0.020818, -0.026794, 0.008217, 0.206206, 0.042788, 1.258623, 1.014317, -11.431116, 0.000593, 1.132661, 0.039029
0, 0.566666, -6.990208, 3.964598, 4.965940, 0.006272, 0.060188, 0.006073, 0.008915, 0.043709, 0.007957, 0.108131, -6.998333, 4.000000, 5.050001, 0.000000
1, 0.566666, 21.388670, -4.164670, -6.118917, 0.076595, 0.088946, 0.006341, 0.041276, 0.038628, 0.014578, 0.117290, 21.400000, -4.000000, -6.000000, -0.000000
