sen_ID_lid_rad,time_s,x,y,v
0,0.000000,-9.664914,3.917538,0.000000
1,0.000000,-9.848994,3.943105,-4.535816
0,0.000000,24.968419,-4.082462,0.000000
1,0.000000,24.815028,-3.861907,-5.827786
0,0.000000,-11.798247,-0.082462,0.000000
1,0.000000,-11.959715,-0.066064,-0.904339
1,0.033333,-9.977062,3.740687,-4.342643
1,0.033333,24.912705,-3.195188,-5.644780
1,0.033333,-12.120163,-0.407778,-0.722559
1,0.066666,-9.953350,4.117058,-4.173173
1,0.066666,24.882604,-3.917875,-5.485962
1,0.066666,-12.363217,-0.078099,-0.564996
1,0.100000,-9.341650,3.970413,-4.672604
1,0.100000,24.207985,-3.926701,-5.996559
1,0.100000,-11.862649,-0.035611,-1.076879
1,0.133333,-9.160047,3.917212,-4.692128
1,0.133333,23.990329,-3.817362,-6.027795
1,0.133333,-11.794106,-0.086697,-1.109431
1,0.166666,-8.598383,3.935937,-4.443353
1,0.166666,23.368040,-4.193620,-5.791310
1,0.166666,-11.406860,0.126147,-0.874296
1,0.200000,-8.696014,4.292982,-4.042753
1,0.200000,23.454558,-4.785338,-5.403614
1,0.200000,-11.761281,0.392593,-0.487982
1,0.233333,-8.797327,3.840377,-4.387842
1,0.233333,23.531374,-3.520315,-5.762259
1,0.233333,-11.784603,-0.245204,-0.848045
1,0.266666,-8.945986,4.545336,-4.781269
1,0.266666,23.695830,-4.827775,-6.169936
1,0.266666,-12.334684,0.373280,-1.257175
1,0.300000,-8.331760,3.793099,-4.492586
1,0.300000,22.988425,-3.518779,-5.896242
1,0.300000,-11.575217,-0.235036,-0.984971
1,0.333333,-7.886418,3.554217,-4.181063
1,0.333333,22.477533,-3.205085,-5.600491
1,0.333333,-11.184264,-0.358414,-0.690749
1,0.366666,-7.763511,4.027010,-4.829481
1,0.366666,22.343181,-4.297792,-6.265520
1,0.366666,-11.400264,0.169370,-1.357345
1,0.400000,-7.914466,3.850008,-4.377358
1,0.400000,22.478904,-3.566250,-5.830897
1,0.400000,-11.570192,-0.224159,-0.924332
