car_ID, time_s, x_est, y_est, v_est, yaw_est, yawdot_est, x_var, y_var, v_var, yaw_var, yawdot_var, x_tru, y_tru, vx_tru, vy_tru
0, 0.366666, -8.099129, 3.875099, 4.835560, -0.095597, 0.123042, 0.002361, 0.004329, 0.027584, 0.012407, 0.351586, -8.000000, 4.000000, 5.000000, 0.000000
1, 0.366666, 22.566478, -4.106309, -6.062191, -0.005233, -0.655695, 0.001996, 0.006270, 0.031515, 0.014383, 0.433180, 22.600000, -4.000000, -6.000000, -0.000000
2, 0.366666, -11.650400, -0.110582, 1.179875, -0.370390, 0.221624, 0.001885, 0.003924, 0.039258, 0.083892, 0.900903, -11.600000, 0.000000, 1.000000, 0.000000
0, 0.400000, -7.905550, 3.915592, 4.912012, -0.018620, 0.293462, 0.002245, 0.003981, 0.029041, 0.010300, 0.268482, -7.833333, 4.000000, 5.000000, 0.000000
1, 0.400000, 22.389162, -4.037378, -5.960407, -0.099871, -0.878660, 0.001886, 0.006574, 0.026168, 0.015700, 0.395732, 22.400000, -4.000000, -6.000000, -0.000000
2, 0.400000, -11.603795, -0.086684, 1.106747, -0.238591, 0.295519, 0.001781, 0.004085, 0.033483, 0.083994, 0.895155, -11.566667, 0.000000, 1.000000, 0.000000
0, 0.433333, -7.719279, 3.936242, 5.004674, -0.019381, 0.127286, 0.002138, 0.003775, 0.030330, 0.009005, 0.210928, -7.666667, 4.000000, 5.000000, 0.000000
1, 0.433333, 22.182126, -4.067873, -6.064816, -0.072923, -0.716335, 0.001824, 0.006879, 0.022987, 0.016388, 0.347744, 22.200000, -4.000000, -6.000000, -0.000000
2, 0.433333, -11.563312, -0.101376, 1.178571, -0.237494, 0.346034, 0.001692, 0.004185, 0.029375, 0.085107, 0.884747, -11.533333, 0.000000, 1.000000, 0.000000
0, 0.466666, -7.546108, 3.984596, 5.009206, 0.076362, 0.458309, 0.002067, 0.003629, 0.031426, 0.008042, 0.167895, -7.500000, 4.000000, 5.000000, 0.000000
1, 0.466666, 21.984731, -4.036242, -5.948535, -0.105442, -0.714360, 0.001759, 0.007214, 0.020915, 0.016252, 0.294639, 22.000000, -4.000000, -6.000000, -0.000000
2, 0.466666, -11.543063, -0.071833, 1.002549, -0.111767, 0.392816, 0.001623, 0.004306, 0.025681, 0.086197, 0.870766, -11.500000, 0.000000, 1.000000, 0.000000
0, 0.500000, -7.370221, 3.970914, 5.022851, 0.041540, 0.270940, 0.001981, 0.003396, 0.032659, 0.006565, 0.125212, -7.333333, 4.000000, 5.016667, 0.000000
1, 0.500000, 21.784346, -4.032313, -5.976784, -0.108925, -0.656049, 0.001718, 0.007380, 0.019873, 0.015446, 0.242154, 21.800000, -4.000000, -6.000000, -0.000000
2, 0.500000, -11.495263, -0.081650, 1.062042, -0.110832, 0.398058, 0.001561, 0.004261, 0.022779, 0.087897, 0.852763, -11.466667, 0.000000, 1.066519, 0.017777
0, 0.533333, -7.183701, 3.996073, 5.084056, 0.057772, 0.252504, 0.001941, 0.003210, 0.033796, 0.005579, 0.096987, -7.166111, 4.000000, 5.033334, 0.000000
1, 0.533333, 21.605905, -3.933124, -5.935625, -0.216915, -0.910161, 0.001648, 0.007308, 0.018364, 0.014021, 0.194642, 21.600000, -4.000000, -6.000000, -0.000000
2, 0.533333, -11.445617, -0.041172, 1.066471, 0.053409, 0.617193, 0.001517, 0.004170, 0.020034, 0.087023, 0.820123, -11.431116, 0.000593, 1.132661, 0.039029
0, 0.566666, -7.024485, 4.021346, 5.075447, 0.082226, 0.300523, 0.001914, 0.003104, 0.034711, 0.004995, 0.078741, -6.998333, 4.000000, 5.050001, 0.000000
1, 0.566666, 21.406029, -3.860509, -5.906995, -0.280304, -1.008865, 0.001609, 0.007036, 0.017766, 0.012360, 0.153884, 21.400000, -4.000000, -6.000000, -0.000000
2, 0.566666, -11.421977, 0.004162, 1.020678, 0.220839, 0.844898, 0.001478, 0.004013, 0.018599, 0.084079, 0.769522, -11.393361, 0.001894, 1.198294, 0.063970
0, 0.600000, -6.855954, 4.020126, 5.095242, 0.051275, 0.152733, 0.001893, 0.003000, 0.035490, 0.004457, 0.064268, -6.830000, 4.000000, 5.066668, 0.000000
